Trial	ObjID	LocID	FB	Task	RT	Stim
1	91	2	1	-2	542	4023	
2	138	1	1	-2	633	10031	
3	219	4	1	-2	616	18029	
4	205	3	1	-2	748	26027	
5	202	2	1	-2	683	32024	
6	70	1	1	-2	581	40023	
7	192	3	1	-2	616	46020	
8	201	4	1	-2	616	52018	
9	186	4	1	-1	615	58017	
10	12	2	1	-1	82	66015	
11	180	1	1	-1	566	72012	
12	198	3	1	-1	666	78010	
13	238	2	1	-1	715	84009	
14	41	4	1	-1	432	92007	
15	253	3	1	-1	566	100004	
16	32	1	1	-1	565	108002	
17	261	3	1	1	582	117999	
18	71	4	1	1	633	123996	
19	239	2	1	1	582	129995	
20	35	1	1	1	649	135993	
21	92	3	1	1	566	141991	
22	120	1	1	1	532	149989	
23	228	2	1	1	615	155987	
24	60	4	1	1	582	163985	
25	263	1	0	1	516	171982	
26	208	4	0	1	682	177980	
27	158	2	0	1	916	183978	
28	139	3	0	1	614	197976	
29	61	1	0	1	681	205989	
30	216	3	0	1	615	215986	
31	141	4	0	1	816	221983	
32	84	2	0	1	597	235981	
33	244	4	1	2	948	243994	
34	169	3	1	2	716	249991	
35	229	1	1	2	681	261989	
36	68	2	1	2	697	273986	
37	55	2	1	2	715	281999	
38	214	3	1	2	648	293996	
39	235	4	1	2	732	299993	
40	209	1	1	2	665	307991	
41	256	4	0	2	716	313988	
42	82	2	0	2	681	321987	
43	213	3	0	2	916	327984	
44	125	1	0	2	614	339982	
45	199	3	0	2	631	347979	
46	161	1	0	2	933	353976	
47	93	4	0	2	548	363974	
48	114	2	0	2	565	373971	
49	8	2	1	-2	965	381968	
50	95	3	1	-2	564	391966	
51	10	1	1	-2	616	397963	
52	18	4	1	-2	615	405961	
53	246	3	1	-2	716	411958	
54	196	1	1	-2	614	421957	
55	22	4	1	-2	615	429954	
56	170	2	1	-2	696	445951	
57	37	1	1	1	882	451963	
58	25	2	1	1	549	459961	
59	212	4	1	1	648	467959	
60	78	3	1	1	932	475956	
61	157	3	1	1	882	481954	
62	176	1	1	1	614	491952	
63	179	2	1	1	716	497949	
64	153	4	1	1	666	503947	
65	250	3	0	1	849	509945	
66	248	1	0	1	716	515943	
67	19	4	0	1	632	521942	
68	116	2	0	1	715	529940	
69	178	3	0	1	615	537937	
70	226	1	0	1	732	543935	
71	20	4	0	1	648	553933	
72	59	2	0	1	714	563930	
73	62	4	1	2	782	569927	
74	98	3	1	2	716	575925	
75	127	1	1	2	681	585923	
76	137	2	1	2	865	593920	
77	80	2	1	2	715	601918	
78	185	1	1	2	615	609915	
79	183	3	1	2	714	621913	
80	112	4	1	2	630	633926	
81	48	2	0	2	816	639939	
82	218	1	0	2	716	645937	
83	230	3	0	2	766	651935	
84	26	4	0	2	616	657933	
85	31	4	0	2	648	667931	
86	171	3	0	2	632	675928	
87	234	1	0	2	83	681926	
88	29	2	0	2	665	691924	
89	17	3	1	-1	916	4017	
90	113	1	1	-1	730	18015	
91	2	2	1	-1	850	24027	
92	74	4	1	-1	715	32026	
93	65	4	1	-1	615	40023	
94	151	2	1	-1	664	50021	
95	52	1	1	-1	782	56018	
96	251	3	1	-1	682	62016	
97	111	3	1	-1	716	68014	
98	140	4	1	-1	682	76012	
99	99	2	1	-1	716	82010	
100	64	1	1	-1	632	90008	
101	67	2	1	1	716	98005	
102	243	1	1	1	615	106003	
103	154	3	1	1	782	112001	
104	110	4	1	1	632	117999	
105	206	1	1	1	616	123997	
106	134	4	1	1	649	129995	
107	3	2	1	1	583	135993	
108	217	3	1	1	616	141991	
109	204	2	0	1	565	149990	
110	44	3	0	1	633	155987	
111	262	1	0	1	613	167985	
112	94	4	0	1	632	175998	
113	174	3	0	1	715	183996	
114	252	1	0	1	966	189993	
115	119	2	0	1	932	195992	
116	188	4	0	1	632	203990	
117	173	1	1	2	1015	211987	
118	264	3	1	2	266	217985	
119	9	2	1	2	749	223983	
120	63	4	1	2	615	231981	
121	203	4	1	2	632	239979	
122	200	1	1	2	682	249976	
123	184	2	1	2	648	259973	
124	215	3	1	2	631	269970	
125	128	4	0	2	715	277967	
126	187	1	0	2	715	285965	
127	259	2	0	2	682	293962	
128	121	3	0	2	1232	299960	
129	104	1	0	2	615	309958	
130	194	4	0	2	982	315955	
131	86	3	0	2	632	323953	
132	225	2	0	2	615	331951	
133	159	4	1	-2	715	341948	
134	237	1	1	-2	683	347945	
135	56	2	1	-2	632	355943	
136	255	3	1	-2	682	363941	
137	46	2	1	-2	732	373938	
138	160	3	1	-2	732	379935	
139	33	4	1	-2	648	387934	
140	66	1	1	-2	765	395931	
141	117	4	1	1	765	401929	
142	102	2	1	1	746	417927	
143	210	3	1	1	732	423939	
144	146	1	1	1	946	437937	
145	85	2	1	1	681	447949	
146	89	3	1	1	748	457946	
147	129	4	1	1	1049	463943	
148	106	1	1	1	949	469941	
149	88	1	0	1	648	479939	
150	155	2	0	1	648	489936	
151	168	3	0	1	633	495933	
152	1	4	0	1	749	501932	
153	191	1	0	1	797	513930	
154	75	4	0	1	715	519943	
155	233	2	0	1	849	525941	
156	36	3	0	1	682	531939	
157	166	2	1	2	1316	537937	
158	7	1	1	2	666	545935	
159	123	3	1	2	832	551933	
160	197	4	1	2	849	557931	
161	76	2	1	2	615	565929	
162	177	4	1	2	682	571927	
163	5	3	1	2	349	579925	
164	54	1	1	2	815	585923	
165	175	4	0	2	214	595921	
166	133	3	0	2	714	605918	
167	167	1	0	2	849	611915	
168	42	2	0	2	648	619913	
169	144	4	0	2	749	625910	
170	150	3	0	2	216	633908	
171	100	2	0	2	681	645906	
172	257	1	0	2	714	657919	
173	147	2	1	-1	815	4013	
174	15	3	1	-1	815	12010	
175	103	4	1	-1	916	18008	
176	11	1	1	-1	715	28006	
177	182	1	1	-1	632	36003	
178	190	3	1	-1	681	46001	
179	69	2	1	-1	732	54014	
180	143	4	1	-1	615	60012	
181	258	3	1	-1	732	66010	
182	47	1	1	-1	649	72008	
183	145	4	1	-1	633	78006	
184	97	2	1	-1	614	90004	
185	254	4	1	1	682	98001	
186	148	3	1	1	716	103998	
187	6	2	1	1	582	111996	
188	57	1	1	1	730	125994	
189	28	3	1	1	696	142006	
190	118	2	1	1	764	154018	
191	90	1	1	1	732	162031	
192	164	4	1	1	648	172029	
193	181	2	0	1	732	178026	
194	81	4	0	1	848	186024	
195	126	3	0	1	1149	192021	
196	40	1	0	1	632	198020	
197	124	4	0	1	865	206018	
198	79	1	0	1	816	212015	
199	242	2	0	1	816	218013	
200	30	3	0	1	665	224012	
201	43	1	1	2	716	230010	
202	223	2	1	2	648	238008	
203	23	4	1	2	566	246005	
204	122	3	1	2	682	252003	
205	87	1	1	2	683	258001	
206	77	2	1	2	616	265999	
207	195	4	1	2	832	271997	
208	27	3	1	2	849	279995	
209	207	4	0	2	681	289993	
210	96	2	0	2	648	297990	
211	72	3	0	2	849	303987	
212	136	1	0	2	682	311985	
213	149	1	0	2	666	317983	
214	224	2	0	2	582	325981	
215	14	3	0	2	631	333979	
216	162	4	0	2	766	339976	
217	109	1	1	-2	616	347974	
218	165	3	1	-2	614	359972	
219	108	2	1	-2	664	371985	
220	245	4	1	-2	648	379998	
221	45	3	1	-2	866	385995	
222	13	1	1	-2	765	391994	
223	39	2	1	-2	632	397992	
224	172	4	1	-2	565	405990	
225	101	3	1	1	815	411988	
226	83	4	1	1	714	421986	
227	240	1	1	1	665	427983	
228	49	2	1	1	666	433981	
229	227	4	1	1	648	441979	
230	131	3	1	1	782	447977	
231	58	2	1	1	632	453975	
232	4	1	1	1	631	463973	
233	189	1	0	1	749	469970	
234	222	2	0	1	614	481968	
235	220	4	0	1	916	487981	
236	142	3	0	1	581	499979	
237	21	1	0	1	750	505975	
238	107	4	0	1	815	511974	
239	241	2	0	1	666	517972	
240	236	3	0	1	715	527970	
241	221	2	1	2	1065	535967	
242	211	3	1	2	765	541965	
243	115	1	1	2	615	549963	
244	163	4	1	2	816	555960	
245	132	4	1	2	1500	563958	
246	24	1	1	2	647	577956	
247	53	2	1	2	683	583968	
248	247	3	1	2	665	591967	
249	135	1	0	2	649	597964	
250	193	2	0	2	583	603962	
251	152	3	0	2	1083	609960	
252	16	4	0	2	648	617959	
253	50	3	0	2	683	623956	
254	156	1	0	2	666	629954	
255	249	4	0	2	664	643952	
256	231	2	0	2	631	653965	
257	73	4	1	-1	682	661962	
258	51	1	1	-1	632	671959	
259	130	3	1	-1	665	679956	
260	105	2	1	-1	714	689954	
261	260	1	1	-1	766	695951	
262	34	2	1	-1	615	705949	
263	38	4	1	-1	648	713946	
264	232	3	1	-1	632	721943	
