subj,stage,region,n_voxels,pval,rval
01,early_practice,BA17L,157,1.9887338878551395e-47,0.7207516021558644
01,early_practice,BA17R,151,2.55846193091033e-16,0.4577015197102538
01,early_practice,BA18L,724,5.994778033977718e-50,0.733852257811977
01,early_practice,BA18R,717,7.038450266511746e-49,0.728385989204984
01,early_practice,BA19L,761,5.343785644053004e-13,0.4083201404044811
01,early_practice,BA19R,800,1.8559661273434365e-19,0.4980233445818105
01,early_practice,BA20L,360,0.005038462283684934,0.16484539221022748
01,early_practice,BA20R,359,0.00010194633846446444,0.22697119393562598
01,early_practice,BA37L,308,0.1038485275644578,0.09603700420234461
01,early_practice,BA37R,302,0.001515266667200033,0.18607117921315924
01,early_practice,BA38L,304,9.622483899649086e-07,0.2839591204892923
01,early_practice,BA38R,302,0.0013625667479702347,0.1878414430669399
01,late_practice,BA17L,157,3.4768137129058844e-05,0.24137062767365788
01,late_practice,BA17R,151,3.6247899746119037e-09,0.338823613137046
01,late_practice,BA18L,724,5.0078636940960234e-11,0.3746209121357093
01,late_practice,BA18R,717,5.72628048432788e-08,0.31308342926396515
01,late_practice,BA19L,761,3.3401899674309796e-06,0.2699977829045977
01,late_practice,BA19R,800,0.1542238108365457,0.08417236004108641
01,late_practice,BA20L,360,0.8772715868767108,-0.009139365579546978
01,late_practice,BA20R,359,0.1901313369506559,0.07742450631479016
01,late_practice,BA37L,308,0.6041921029533149,0.030672128226940425
01,late_practice,BA37R,302,0.8751884513532124,-0.00929575742312765
01,late_practice,BA38L,304,0.07980951030458021,0.10339818720785349
01,late_practice,BA38R,302,0.18265404328977,0.07874630925706823
02,early_practice,BA17L,157,3.794838103713708e-19,0.49426278981663263
02,early_practice,BA17R,151,2.3746670337522e-20,0.5085825909022392
02,early_practice,BA18L,724,6.605839523956019e-40,0.6766487306316034
02,early_practice,BA18R,717,8.115017340008354e-35,0.6416921741328562
02,early_practice,BA19L,761,1.00040052103734e-21,0.5241614473123324
02,early_practice,BA19R,800,2.9010320800597554e-26,0.5704873008111373
02,early_practice,BA20L,360,0.8296293885975277,0.012734288196921231
02,early_practice,BA20R,359,0.5670321806815581,0.033868245425308946
02,early_practice,BA37L,308,0.004435749090790672,0.16721121974829362
02,early_practice,BA37R,302,0.19597971844297155,0.076416970680795
02,early_practice,BA38L,304,0.02662165882201155,0.1306469711949031
02,early_practice,BA38R,302,0.001971278886976361,0.18161767774412252
02,late_practice,BA17L,157,9.637580002550913e-23,0.5351772083551449
02,late_practice,BA17R,151,6.807684359160961e-35,0.6422518786234445
02,late_practice,BA18L,724,1.5323439511311118e-33,0.6321543562871748
02,late_practice,BA18R,717,4.4745054447196234e-54,0.753742855953585
02,late_practice,BA19L,761,2.0859397223564506e-19,0.4974123205649271
02,late_practice,BA19R,800,4.90769261086895e-25,0.5586414916760237
02,late_practice,BA20L,360,0.0036794212546477755,0.17062945344950897
02,late_practice,BA20R,359,0.8880740934682905,0.00832935759235425
02,late_practice,BA37L,308,0.11874605946660795,0.0921323888972096
02,late_practice,BA37R,302,0.44412772793662847,0.04526603176210355
02,late_practice,BA38L,304,0.02023683268353948,0.1367721380561798
