subj,stage,region,n_voxels,pval,rval,correct
01,early_practice,BA17L,157,1.9887338878551395e-47,0.7207516021558644,0.75
01,early_practice,BA17R,151,2.55846193091033e-16,0.4577015197102538,0.625
01,early_practice,BA18L,724,5.994778033977718e-50,0.733852257811977,0.7951388888888888
01,early_practice,BA18R,717,7.038450266511746e-49,0.728385989204984,0.7708333333333334
01,early_practice,BA19L,761,5.343785644053004e-13,0.4083201404044811,0.5555555555555556
01,early_practice,BA19R,800,1.8559661273434365e-19,0.4980233445818105,0.5590277777777778
01,early_practice,BA20L,360,0.005038462283684934,0.16484539221022748,0.3125
01,early_practice,BA20R,359,0.00010194633846446444,0.22697119393562598,0.3888888888888889
01,early_practice,BA37L,308,0.1038485275644578,0.09603700420234461,0.2951388888888889
01,early_practice,BA37R,302,0.001515266667200033,0.18607117921315924,0.3472222222222222
01,early_practice,BA38L,304,9.622483899649086e-07,0.2839591204892923,0.3923611111111111
01,early_practice,BA38R,302,0.0013625667479702347,0.1878414430669399,0.3715277777777778
01,late_practice,BA17L,157,3.4768137129058844e-05,0.24137062767365788,0.4791666666666667
01,late_practice,BA17R,151,3.6247899746119037e-09,0.338823613137046,0.5243055555555556
01,late_practice,BA18L,724,5.0078636940960234e-11,0.3746209121357093,0.5138888888888888
01,late_practice,BA18R,717,5.72628048432788e-08,0.31308342926396515,0.4826388888888889
01,late_practice,BA19L,761,3.3401899674309796e-06,0.2699977829045977,0.3958333333333333
01,late_practice,BA19R,800,0.1542238108365457,0.08417236004108641,0.3506944444444444
01,late_practice,BA20L,360,0.8772715868767108,-0.009139365579546978,0.2534722222222222
01,late_practice,BA20R,359,0.1901313369506559,0.07742450631479016,0.2534722222222222
01,late_practice,BA37L,308,0.6041921029533149,0.030672128226940425,0.2916666666666667
01,late_practice,BA37R,302,0.8751884513532124,-0.00929575742312765,0.3159722222222222
01,late_practice,BA38L,304,0.07980951030458021,0.10339818720785349,0.3229166666666667
01,late_practice,BA38R,302,0.18265404328977,0.07874630925706823,0.25
02,early_practice,BA17L,157,3.794838103713708e-19,0.49426278981663263,0.6145833333333334
02,early_practice,BA17R,151,2.3746670337522e-20,0.5085825909022392,0.6145833333333334
02,early_practice,BA18L,724,6.605839523956019e-40,0.6766487306316034,0.6944444444444444
02,early_practice,BA18R,717,8.115017340008354e-35,0.6416921741328562,0.6597222222222222
02,early_practice,BA19L,761,1.00040052103734e-21,0.5241614473123324,0.5451388888888888
02,early_practice,BA19R,800,2.9010320800597554e-26,0.5704873008111373,0.5416666666666666
02,early_practice,BA20L,360,0.8296293885975277,0.012734288196921231,0.2881944444444444
02,early_practice,BA20R,359,0.5670321806815581,0.033868245425308946,0.2465277777777778
02,early_practice,BA37L,308,0.004435749090790672,0.16721121974829362,0.3229166666666667
02,early_practice,BA37R,302,0.19597971844297155,0.076416970680795,0.2777777777777778
02,early_practice,BA38L,304,0.02662165882201155,0.1306469711949031,0.2847222222222222
02,early_practice,BA38R,302,0.001971278886976361,0.18161767774412252,0.28125
02,late_practice,BA17L,157,9.637580002550913e-23,0.5351772083551449,0.6354166666666666
02,late_practice,BA17R,151,6.807684359160961e-35,0.6422518786234445,0.6840277777777778
02,late_practice,BA18L,724,1.5323439511311118e-33,0.6321543562871748,0.6840277777777778
02,late_practice,BA18R,717,4.4745054447196234e-54,0.753742855953585,0.7847222222222222
02,late_practice,BA19L,761,2.0859397223564506e-19,0.4974123205649271,0.5625
02,late_practice,BA19R,800,4.90769261086895e-25,0.5586414916760237,0.6180555555555556
02,late_practice,BA20L,360,0.0036794212546477755,0.17062945344950897,0.2916666666666667
02,late_practice,BA20R,359,0.8880740934682905,0.00832935759235425,0.2638888888888889
02,late_practice,BA37L,308,0.11874605946660795,0.0921323888972096,0.2916666666666667
02,late_practice,BA37R,302,0.44412772793662847,0.04526603176210355,0.3194444444444444
02,late_practice,BA38L,304,0.02023683268353948,0.1367721380561798,0.2638888888888889
02,late_practice,BA38R,302,0.8870848057480009,0.008403470873621442,0.25
05,early_practice,BA17L,157,6.779373449927234e-19,0.4911775837932807,0.6145833333333334
05,early_practice,BA17R,151,2.1088937633218456e-09,0.34360739219650405,0.5625
05,early_practice,BA18L,724,3.1325631348657455e-42,0.691151356981371,0.7604166666666666
05,early_practice,BA18R,717,8.701762311252816e-35,0.6414694232601121,0.6875
05,early_practice,BA19L,761,5.483773801438329e-21,0.5158917721423706,0.5243055555555556
05,early_practice,BA19R,800,8.323738939875819e-15,0.4361969765291623,0.5729166666666666
05,early_practice,BA20L,360,0.5892424114389464,0.03194674082183628,0.2951388888888889
05,early_practice,BA20R,359,0.2303491831094427,0.07089821033932586,0.2951388888888889
05,early_practice,BA37L,308,0.5308884210517943,0.03707426677246127,0.2986111111111111
05,early_practice,BA37R,302,0.049150055435858125,0.11603630797289231,0.3159722222222222
05,early_practice,BA38L,304,0.49080711814573774,0.04076161985794906,0.24305555555555555
05,early_practice,BA38R,302,0.3310375685464084,0.05747979548967943,0.2743055555555556
05,late_practice,BA17L,157,8.322257125369136e-20,0.5021859491695557,0.7013888888888888
05,late_practice,BA17R,151,2.6680142050270174e-44,0.7033839469545178,0.6527777777777778
05,late_practice,BA18L,724,1.429407244543883e-53,0.7514091198916475,0.8263888888888888
05,late_practice,BA18R,717,2.984917907690498e-64,0.7957764213412639,0.7326388888888888
05,late_practice,BA19L,761,5.327889241997919e-11,0.37413344228571693,0.5173611111111112
05,late_practice,BA19R,800,1.231888568643707e-42,0.6935959722084559,0.6458333333333334
05,late_practice,BA20L,360,0.43664765963138386,0.046012052128572935,0.28125
05,late_practice,BA20R,359,0.00022805985068165751,0.21556165016212436,0.3298611111111111
05,late_practice,BA37L,308,0.18924927056259772,0.07757842559136764,0.3194444444444444
05,late_practice,BA37R,302,0.41182301286928724,0.04854219994979572,0.3506944444444444
05,late_practice,BA38L,304,0.023365780718767507,0.13358941994763812,0.3020833333333333
05,late_practice,BA38R,302,0.07330644325201355,0.10569473946349645,0.25
07,early_practice,BA17L,157,6.44240288276918e-10,0.35380723413332416,0.4895833333333333
07,early_practice,BA17R,151,2.7916799839523364e-07,0.2971287910974766,0.4444444444444444
07,early_practice,BA18L,724,3.166880302181562e-14,0.4275240794926869,0.5243055555555556
07,early_practice,BA18R,717,1.7776755159036046e-08,0.3242878415730559,0.4652777777777778
07,early_practice,BA19L,761,0.00014210281841142225,0.2223356706303027,0.46875
07,early_practice,BA19R,800,3.6747532244839475e-08,0.31738650251327,0.4756944444444444
07,early_practice,BA20L,360,0.8204219873311891,0.013434056905611155,0.2569444444444444
07,early_practice,BA20R,359,0.5688462106791948,-0.0337099931231621,0.3159722222222222
07,early_practice,BA37L,308,0.00017211593588075964,0.21961670390876903,0.3576388888888889
07,early_practice,BA37R,302,0.0002317850675683919,0.2153259097377992,0.3611111111111111
07,early_practice,BA38L,304,0.21611613523386308,0.07310668455543415,0.2777777777777778
07,early_practice,BA38R,302,0.05496751113440577,0.11321451938933241,0.3020833333333333
07,late_practice,BA17L,157,7.123424244889314e-90,0.8701076701614343,0.8854166666666666
07,late_practice,BA17R,151,1.6639146693410153e-90,0.8715172996205267,0.8680555555555556
07,late_practice,BA18L,724,9.94214494172431e-78,0.8394611127196876,0.8645833333333334
07,late_practice,BA18R,717,2.989192705767125e-96,0.8836115809570566,0.8888888888888888
07,late_practice,BA19L,761,3.547848960751743e-16,0.45574585619960406,0.59375
07,late_practice,BA19R,800,1.2419109160122961e-30,0.6090904354858164,0.6631944444444444
07,late_practice,BA20L,360,0.9039299622977475,-0.0071431935649189995,0.25
07,late_practice,BA20R,359,0.1349758124293808,0.0882917470892253,0.2777777777777778
07,late_practice,BA37L,308,0.3301451762037915,0.05758578903789663,0.2986111111111111
07,late_practice,BA37R,302,0.11512314982676078,0.09304494887594093,0.3368055555555556
07,late_practice,BA38L,304,0.9622909232549164,0.0027981008951355087,0.2569444444444444
07,late_practice,BA38R,302,0.22731808546582138,0.07136022750969544,0.2569444444444444
08,early_practice,BA17L,157,3.484210618294053e-06,0.26951042173210144,0.4270833333333333
08,early_practice,BA17R,151,0.006389397348231016,0.1603520409686071,0.3819444444444444
08,early_practice,BA18L,724,1.9954710606697964e-09,0.34409113329384294,0.4930555555555556
08,early_practice,BA18R,717,1.733378557970097e-08,0.3245245676554926,0.4305555555555556
08,early_practice,BA19L,761,0.002775167542308348,0.17567299648659482,0.40625
08,early_practice,BA19R,800,3.784975358701411e-09,0.3384381576975675,0.4236111111111111
08,early_practice,BA20L,360,0.5399149278208087,-0.03626376043675932,0.2777777777777778
08,early_practice,BA20R,359,0.027721011963230315,-0.12972328317899956,0.2361111111111111
08,early_practice,BA37L,308,0.30405858144270925,0.060770156394618684,0.2708333333333333
08,early_practice,BA37R,302,0.6993295202346137,0.022854990212187724,0.2673611111111111
08,early_practice,BA38L,304,0.0057412596829021,0.1623889376888194,0.3159722222222222
08,early_practice,BA38R,302,0.030494511791140554,0.1275254058520529,0.3229166666666667
08,late_practice,BA17L,157,1.0382618292305234e-14,0.4347794126543124,0.6180555555555556
08,late_practice,BA17R,151,7.219060136695818e-19,0.49084157840803994,0.6215277777777778
08,late_practice,BA18L,724,1.0768945023822366e-44,0.705643855260152,0.7222222222222222
08,late_practice,BA18R,717,5.975916219200205e-60,0.7791123486562102,0.7256944444444444
08,late_practice,BA19L,761,9.516203968122734e-17,0.46354239150228865,0.5451388888888888
08,late_practice,BA19R,800,5.106457878070138e-14,0.42436188015227516,0.5173611111111112
08,late_practice,BA20L,360,3.283223326173703e-09,0.3397038240855217,0.3576388888888889
08,late_practice,BA20R,359,0.2823695965196655,0.06355800271573644,0.2534722222222222
08,late_practice,BA37L,308,0.08743638708589992,0.10089007900371166,0.3159722222222222
08,late_practice,BA37R,302,0.48995995488775534,0.040841231108573794,0.2986111111111111
08,late_practice,BA38L,304,0.06372726143871064,0.1094005370219508,0.3159722222222222
08,late_practice,BA38R,302,0.03989170014811126,0.12116477977378762,0.2986111111111111
11,early_practice,BA17L,157,2.5586609634723452e-05,0.24531694308904137,0.4270833333333333
11,early_practice,BA17R,151,1.4935941142606314e-05,0.2520900114248273,0.4027777777777778
11,early_practice,BA18L,724,1.4055099661876508e-14,0.43282620147432543,0.5451388888888888
11,early_practice,BA18R,717,3.2134852738653654e-06,0.27044341776706093,0.4826388888888889
11,early_practice,BA19L,761,0.0015822972165288793,0.1853452658680675,0.3645833333333333
11,early_practice,BA19R,800,2.233497562017974e-09,0.343104206914017,0.4409722222222222
11,early_practice,BA20L,360,0.14196672211404462,0.086746632435955,0.2604166666666667
11,early_practice,BA20R,359,0.25680947830954215,0.06703584166900683,0.2777777777777778
11,early_practice,BA37L,308,0.14602734659195432,0.08587570624810643,0.2708333333333333
11,early_practice,BA37R,302,0.5758868956329486,0.03309803160778339,0.2673611111111111
11,early_practice,BA38L,304,0.4985462171221609,0.0400377108621348,0.28125
11,early_practice,BA38R,302,0.014362971482095307,0.1441259007238841,0.3020833333333333
11,late_practice,BA17L,157,8.529248652982491e-21,0.5137074359936098,0.6493055555555556
11,late_practice,BA17R,151,1.2737541814936035e-35,0.6475343318831656,0.6527777777777778
11,late_practice,BA18L,724,3.1325741068062092e-49,0.7301974035120615,0.7881944444444444
11,late_practice,BA18R,717,5.882736158870712e-69,0.8123861404514827,0.8263888888888888
11,late_practice,BA19L,761,4.76645699979083e-17,0.4675603512360147,0.59375
11,late_practice,BA19R,800,1.0527551500447508e-12,0.40352362598265157,0.5555555555555556
11,late_practice,BA20L,360,0.04724653020684487,0.11702018823865462,0.2951388888888889
11,late_practice,BA20R,359,0.004248474659981825,0.16800550151461918,0.3125
11,late_practice,BA37L,308,0.96988103477919,0.002234597119034107,0.28125
11,late_practice,BA37R,302,0.11549350650233232,0.09295063982399562,0.3333333333333333
11,late_practice,BA38L,304,0.021421853230739474,0.13551966807274118,0.3298611111111111
11,late_practice,BA38R,302,0.3434677051944647,0.05602208249171945,0.2326388888888889
12,early_practice,BA17L,157,1.0914840575134812e-13,0.4192649927456645,0.4791666666666667
12,early_practice,BA17R,151,6.431655569648442e-09,0.33366858653357323,0.4895833333333333
12,early_practice,BA18L,724,2.954153458960564e-20,0.5074784542641082,0.6111111111111112
12,early_practice,BA18R,717,1.1893818746159832e-30,0.6092455415448832,0.6145833333333334
12,early_practice,BA19L,761,9.99011951291667e-09,0.3296442109952527,0.4236111111111111
12,early_practice,BA19R,800,1.0831517364324156e-10,0.3684912491564485,0.4479166666666667
12,early_practice,BA20L,360,2.50520933654903e-06,0.2732938175759617,0.3368055555555556
12,early_practice,BA20R,359,2.241338120876454e-11,0.38087480919100547,0.3888888888888889
12,early_practice,BA37L,308,0.1497726218624347,0.08508861512951289,0.2916666666666667
12,early_practice,BA37R,302,0.2532783709475717,-0.06753472543249842,0.25
12,early_practice,BA38L,304,0.09280717294574295,0.09922742320032554,0.3020833333333333
12,early_practice,BA38R,302,0.03613141518512236,0.12353920405580171,0.3090277777777778
12,late_practice,BA17L,157,2.9382971768189075e-29,0.5974985722193952,0.6111111111111112
12,late_practice,BA17R,151,8.761285910478741e-27,0.5753616378874976,0.6770833333333334
12,late_practice,BA18L,724,7.610500323388567e-39,0.6697361295864196,0.6979166666666666
12,late_practice,BA18R,717,1.858192767978708e-36,0.6534747367534415,0.7326388888888888
12,late_practice,BA19L,761,2.2686002034584543e-05,0.24684764465158987,0.4409722222222222
12,late_practice,BA19R,800,2.4715826997688912e-27,0.5804266116333225,0.5798611111111112
12,late_practice,BA20L,360,0.0009576598023667721,0.19360959260179067,0.3159722222222222
12,late_practice,BA20R,359,0.1688190898056853,0.08130135449701756,0.3020833333333333
12,late_practice,BA37L,308,0.21416961890226674,0.07341671531349582,0.2673611111111111
12,late_practice,BA37R,302,0.012992547375064643,0.14621794225102164,0.3263888888888889
12,late_practice,BA38L,304,1.2417322341963332e-05,0.2543703330624608,0.3472222222222222
12,late_practice,BA38R,302,0.029100136031628747,0.12860796418321166,0.2777777777777778
13,early_practice,BA17L,157,1.5280722004232152e-15,0.4468545829399613,0.6388888888888888
13,early_practice,BA17R,151,9.719058511438318e-14,0.4200491522904729,0.59375
13,early_practice,BA18L,724,8.875235520716974e-37,0.655720102947211,0.7152777777777778
13,early_practice,BA18R,717,1.3196203455248704e-27,0.5829058545735122,0.7013888888888888
13,early_practice,BA19L,761,1.4630322315746102e-33,0.6323072332339361,0.6840277777777778
13,early_practice,BA19R,800,8.970154690777503e-29,0.5932941195202261,0.6770833333333334
13,early_practice,BA20L,360,1.7179449399853464e-05,0.2503475599803413,0.3472222222222222
13,early_practice,BA20R,359,0.022933026212809432,0.13400677401039815,0.3298611111111111
13,early_practice,BA37L,308,0.3361865411936675,0.05687178575201686,0.3090277777777778
13,early_practice,BA37R,302,0.00012861948349971613,0.22373726290394935,0.3923611111111111
13,early_practice,BA38L,304,1.5100332044154897e-08,0.32581503302841563,0.3923611111111111
13,early_practice,BA38R,302,0.0031822998902216707,0.17324166023081158,0.3368055555555556
13,late_practice,BA17L,157,1.7322326950477855e-14,0.43147083876212494,0.6145833333333334
13,late_practice,BA17R,151,1.3717983776021102e-11,0.3846294889325619,0.5486111111111112
13,late_practice,BA18L,724,2.1363256530752673e-35,0.645915637719003,0.7083333333333334
13,late_practice,BA18R,717,8.468465542337277e-15,0.43608665628006077,0.5798611111111112
13,late_practice,BA19L,761,1.7919257562717792e-06,0.2770797436250444,0.4652777777777778
13,late_practice,BA19R,800,8.019777956572381e-17,0.46454156564149274,0.5486111111111112
13,late_practice,BA20L,360,0.002943876953123577,0.17462858562574113,0.3472222222222222
13,late_practice,BA20R,359,0.17163967694234936,0.0807681507329967,0.3020833333333333
13,late_practice,BA37L,308,0.005765247000245796,0.16230996155351632,0.3263888888888889
13,late_practice,BA37R,302,0.29733459324278977,0.061619844683635405,0.3298611111111111
13,late_practice,BA38L,304,0.04960162030763565,0.11580758642230354,0.28125
13,late_practice,BA38R,302,0.006526955368188561,0.15994368414766258,0.3125
