subj,stage,region,n_voxels,accuracy
01,early_practice,BA17L,157,0.75
01,early_practice,BA17R,151,0.625
01,early_practice,BA18L,724,0.7951388888888888
01,early_practice,BA18R,717,0.7708333333333334
01,early_practice,BA19L,761,0.5555555555555555
01,early_practice,BA19R,800,0.5590277777777777
01,early_practice,BA20L,360,0.3125
01,early_practice,BA20R,359,0.3888888888888889
01,early_practice,BA37L,308,0.2951388888888889
01,early_practice,BA37R,302,0.34722222222222227
01,early_practice,BA38L,304,0.39236111111111116
01,early_practice,BA38R,302,0.37152777777777785
01,late_practice,BA17L,157,0.4791666666666667
01,late_practice,BA17R,151,0.5243055555555556
01,late_practice,BA18L,724,0.5138888888888888
01,late_practice,BA18R,717,0.4826388888888889
01,late_practice,BA19L,761,0.3958333333333333
01,late_practice,BA19R,800,0.3506944444444444
01,late_practice,BA20L,360,0.2534722222222222
01,late_practice,BA20R,359,0.25347222222222227
01,late_practice,BA37L,308,0.2916666666666667
01,late_practice,BA37R,302,0.31597222222222227
01,late_practice,BA38L,304,0.3229166666666667
01,late_practice,BA38R,302,0.24999999999999997
02,early_practice,BA17L,157,0.6145833333333334
02,early_practice,BA17R,151,0.6145833333333334
02,early_practice,BA18L,724,0.6944444444444445
02,early_practice,BA18R,717,0.6597222222222223
02,early_practice,BA19L,761,0.5451388888888888
02,early_practice,BA19R,800,0.5416666666666666
02,early_practice,BA20L,360,0.2881944444444444
02,early_practice,BA20R,359,0.24652777777777776
02,early_practice,BA37L,308,0.3229166666666667
02,early_practice,BA37R,302,0.27777777777777773
02,early_practice,BA38L,304,0.28472222222222227
02,early_practice,BA38R,302,0.28125
02,late_practice,BA17L,157,0.6354166666666666
02,late_practice,BA17R,151,0.6840277777777777
02,late_practice,BA18L,724,0.6840277777777778
02,late_practice,BA18R,717,0.7847222222222223
02,late_practice,BA19L,761,0.5625
02,late_practice,BA19R,800,0.6180555555555557
02,late_practice,BA20L,360,0.2916666666666667
02,late_practice,BA20R,359,0.2638888888888889
02,late_practice,BA37L,308,0.2916666666666667
02,late_practice,BA37R,302,0.3194444444444445
02,late_practice,BA38L,304,0.2638888888888889
02,late_practice,BA38R,302,0.25
05,early_practice,BA17L,157,0.6145833333333334
05,early_practice,BA17R,151,0.5625
05,early_practice,BA18L,724,0.7604166666666666
05,early_practice,BA18R,717,0.6875
05,early_practice,BA19L,761,0.5243055555555555
05,early_practice,BA19R,800,0.5729166666666666
