,subj,roi_module,roi_name,Mapping,Mean Accuracy,Stage
0,GA01,Core,PCC_l,Unpracticed,0.3090277777777778,Early
1,GA01,Core,PCC_l,Unpracticed,0.2604166666666667,Late
2,GA01,Core,PCC_l,Practiced,0.3125,Early
3,GA01,Core,PCC_l,Practiced,0.2465277777777778,Late
4,GA01,Core,PCC_r,Unpracticed,0.3368055555555555,Early
5,GA01,Core,PCC_r,Unpracticed,0.2708333333333333,Late
6,GA01,Core,PCC_r,Practiced,0.37152777777777773,Early
7,GA01,Core,PCC_r,Practiced,0.28472222222222227,Late
8,GA01,Core,aMPFC_l,Unpracticed,0.3645833333333333,Early
9,GA01,Core,aMPFC_l,Unpracticed,0.2916666666666667,Late
10,GA01,Core,aMPFC_l,Practiced,0.31597222222222227,Early
11,GA01,Core,aMPFC_l,Practiced,0.2881944444444444,Late
12,GA01,Core,aMPFC_r,Unpracticed,0.3125,Early
13,GA01,Core,aMPFC_r,Unpracticed,0.3194444444444444,Late
14,GA01,Core,aMPFC_r,Practiced,0.3194444444444444,Early
15,GA01,Core,aMPFC_r,Practiced,0.3055555555555556,Late
16,GA01,dMsub,LTC_l,Unpracticed,0.2569444444444445,Early
17,GA01,dMsub,LTC_l,Unpracticed,0.2673611111111111,Late
18,GA01,dMsub,LTC_l,Practiced,0.2916666666666667,Early
19,GA01,dMsub,LTC_l,Practiced,0.2638888888888889,Late
20,GA01,dMsub,LTC_r,Unpracticed,0.30902777777777785,Early
21,GA01,dMsub,LTC_r,Unpracticed,0.2708333333333333,Late
22,GA01,dMsub,LTC_r,Practiced,0.28125,Early
23,GA01,dMsub,LTC_r,Practiced,0.2604166666666667,Late
24,GA01,dMsub,TPJ_l,Unpracticed,0.2638888888888889,Early
25,GA01,dMsub,TPJ_l,Unpracticed,0.25,Late
26,GA01,dMsub,TPJ_l,Practiced,0.3125,Early
27,GA01,dMsub,TPJ_l,Practiced,0.2986111111111111,Late
28,GA01,dMsub,TPJ_r,Unpracticed,0.28125,Early
29,GA01,dMsub,TPJ_r,Unpracticed,0.29861111111111116,Late
30,GA01,dMsub,TPJ_r,Practiced,0.2986111111111111,Early
31,GA01,dMsub,TPJ_r,Practiced,0.2916666666666667,Late
32,GA01,dMsub,TempP_l_temp,Unpracticed,0.30902777777777773,Early
33,GA01,dMsub,TempP_l_temp,Unpracticed,0.23611111111111113,Late
34,GA01,dMsub,TempP_l_temp,Practiced,0.34375,Early
35,GA01,dMsub,TempP_l_temp,Practiced,0.27083333333333337,Late
36,GA01,dMsub,TempP_r_temp,Unpracticed,0.2743055555555556,Early
37,GA01,dMsub,TempP_r_temp,Unpracticed,0.2604166666666667,Late
38,GA01,dMsub,TempP_r_temp,Practiced,0.34722222222222227,Early
39,GA01,dMsub,TempP_r_temp,Practiced,0.2743055555555555,Late
40,GA01,dMsub,dMPFC,Unpracticed,0.2951388888888889,Early
41,GA01,dMsub,dMPFC,Unpracticed,0.2743055555555555,Late
42,GA01,dMsub,dMPFC,Practiced,0.2604166666666667,Early
43,GA01,dMsub,dMPFC,Practiced,0.22569444444444445,Late
44,GA01,MTLsub,HF_l,Unpracticed,0.2881944444444444,Early
45,GA01,MTLsub,HF_l,Unpracticed,0.2951388888888889,Late
46,GA01,MTLsub,HF_l,Practiced,0.34027777777777785,Early
47,GA01,MTLsub,HF_l,Practiced,0.23263888888888887,Late
48,GA01,MTLsub,HF_r,Unpracticed,0.28125,Early
49,GA01,MTLsub,HF_r,Unpracticed,0.2916666666666667,Late
50,GA01,MTLsub,HF_r,Practiced,0.29861111111111116,Early
51,GA01,MTLsub,HF_r,Practiced,0.2222222222222222,Late
52,GA01,MTLsub,PHC_l,Unpracticed,0.26388888888888884,Early
53,GA01,MTLsub,PHC_l,Unpracticed,0.2569444444444445,Late
54,GA01,MTLsub,PHC_l,Practiced,0.2569444444444445,Early
55,GA01,MTLsub,PHC_l,Practiced,0.2777777777777778,Late
56,GA01,MTLsub,PHC_r,Unpracticed,0.3298611111111111,Early
57,GA01,MTLsub,PHC_r,Unpracticed,0.27777777777777773,Late
58,GA01,MTLsub,PHC_r,Practiced,0.34375,Early
59,GA01,MTLsub,PHC_r,Practiced,0.27777777777777785,Late
60,GA01,MTLsub,Rsp_l,Unpracticed,0.2881944444444444,Early
61,GA01,MTLsub,Rsp_l,Unpracticed,0.2777777777777778,Late
62,GA01,MTLsub,Rsp_l,Practiced,0.24305555555555558,Early
63,GA01,MTLsub,Rsp_l,Practiced,0.2743055555555556,Late
64,GA01,MTLsub,Rsp_r,Unpracticed,0.28472222222222227,Early
65,GA01,MTLsub,Rsp_r,Unpracticed,0.2847222222222222,Late
66,GA01,MTLsub,Rsp_r,Practiced,0.3333333333333333,Early
67,GA01,MTLsub,Rsp_r,Practiced,0.3055555555555556,Late
68,GA01,MTLsub,pIPL_l,Unpracticed,0.3020833333333333,Early
69,GA01,MTLsub,pIPL_l,Unpracticed,0.3055555555555556,Late
70,GA01,MTLsub,pIPL_l,Practiced,0.2638888888888889,Early
71,GA01,MTLsub,pIPL_l,Practiced,0.28125,Late
