,subj,roi_name,Mapping,Mean Accuracy,Stage
0,GA01,Core,Unpracticed,0.3055555555555555,Early
1,GA01,Core,Unpracticed,0.3020833333333333,Late
2,GA01,Core,Practiced,0.3506944444444444,Early
3,GA01,Core,Practiced,0.2986111111111111,Late
4,GA01,dMsub,Unpracticed,0.28125,Early
5,GA01,dMsub,Unpracticed,0.3263888888888889,Late
6,GA01,dMsub,Practiced,0.3333333333333333,Early
7,GA01,dMsub,Practiced,0.2743055555555556,Late
8,GA01,MTLsub,Unpracticed,0.2951388888888889,Early
9,GA01,MTLsub,Unpracticed,0.3541666666666667,Late
10,GA01,MTLsub,Practiced,0.34722222222222215,Early
11,GA01,MTLsub,Practiced,0.2916666666666667,Late
12,GA02,Core,Unpracticed,0.3055555555555556,Early
13,GA02,Core,Unpracticed,0.24999999999999997,Late
14,GA02,Core,Practiced,0.25347222222222227,Early
15,GA02,Core,Practiced,0.2916666666666667,Late
16,GA02,dMsub,Unpracticed,0.3229166666666667,Early
17,GA02,dMsub,Unpracticed,0.3194444444444444,Late
18,GA02,dMsub,Practiced,0.2604166666666667,Early
19,GA02,dMsub,Practiced,0.2569444444444445,Late
20,GA02,MTLsub,Unpracticed,0.3506944444444444,Early
21,GA02,MTLsub,Unpracticed,0.34027777777777773,Late
22,GA02,MTLsub,Practiced,0.3888888888888889,Early
23,GA02,MTLsub,Practiced,0.3611111111111111,Late
24,GA05,Core,Unpracticed,0.3645833333333333,Early
25,GA05,Core,Unpracticed,0.3020833333333333,Late
26,GA05,Core,Practiced,0.2777777777777778,Early
27,GA05,Core,Practiced,0.2638888888888889,Late
28,GA05,dMsub,Unpracticed,0.34722222222222227,Early
29,GA05,dMsub,Unpracticed,0.3680555555555556,Late
30,GA05,dMsub,Practiced,0.2881944444444445,Early
31,GA05,dMsub,Practiced,0.28472222222222227,Late
32,GA05,MTLsub,Unpracticed,0.3819444444444444,Early
33,GA05,MTLsub,Unpracticed,0.37847222222222215,Late
34,GA05,MTLsub,Practiced,0.3611111111111111,Early
35,GA05,MTLsub,Practiced,0.37847222222222227,Late
36,GA07,Core,Unpracticed,0.30902777777777773,Early
37,GA07,Core,Unpracticed,0.3263888888888889,Late
38,GA07,Core,Practiced,0.28125,Early
39,GA07,Core,Practiced,0.22222222222222224,Late
40,GA07,dMsub,Unpracticed,0.3368055555555556,Early
