,subj,roi_name,Mapping,Mean Accuracy,Stage
0,GA01,FuG_L_3_2 (37mv),Unpracticed,0.40625,Early
1,GA01,FuG_L_3_2 (37mv),Unpracticed,0.4305555555555556,Late
2,GA01,FuG_L_3_2 (37mv),Practiced,0.4930555555555555,Early
3,GA01,FuG_L_3_2 (37mv),Practiced,0.375,Late
4,GA01,FuG_R_3_2 (37mv),Unpracticed,0.3125,Early
5,GA01,FuG_R_3_2 (37mv),Unpracticed,0.44097222222222227,Late
6,GA01,FuG_R_3_2 (37mv),Practiced,0.48958333333333326,Early
7,GA01,FuG_R_3_2 (37mv),Practiced,0.34375,Late
8,GA01,MVOcC_L_5_1 (cLinG),Unpracticed,0.48263888888888884,Early
9,GA01,MVOcC_L_5_1 (cLinG),Unpracticed,0.673611111111111,Late
10,GA01,MVOcC_L_5_1 (cLinG),Practiced,0.6145833333333334,Early
11,GA01,MVOcC_L_5_1 (cLinG),Practiced,0.4618055555555555,Late
12,GA01,MVOcC_R_5_1 (cLinG),Unpracticed,0.5243055555555556,Early
13,GA01,MVOcC_R_5_1 (cLinG),Unpracticed,0.6458333333333334,Late
14,GA01,MVOcC_R_5_1 (cLinG),Practiced,0.6041666666666666,Early
15,GA01,MVOcC_R_5_1 (cLinG),Practiced,0.48611111111111116,Late
16,GA01,MVOcC_L_5_3 (cCunG),Unpracticed,0.6041666666666666,Early
17,GA01,MVOcC_L_5_3 (cCunG),Unpracticed,0.8229166666666666,Late
18,GA01,MVOcC_L_5_3 (cCunG),Practiced,0.7708333333333334,Early
19,GA01,MVOcC_L_5_3 (cCunG),Practiced,0.5034722222222222,Late
20,GA01,MVOcC_R_5_3 (cCunG),Unpracticed,0.5659722222222222,Early
21,GA01,MVOcC_R_5_3 (cCunG),Unpracticed,0.7430555555555555,Late
22,GA01,MVOcC_R_5_3 (cCunG),Practiced,0.736111111111111,Early
23,GA01,MVOcC_R_5_3 (cCunG),Practiced,0.5347222222222222,Late
24,GA01,MVOcC_R_5_4 (rLinG),Unpracticed,0.36111111111111116,Early
25,GA01,MVOcC_R_5_4 (rLinG),Unpracticed,0.4375,Late
26,GA01,MVOcC_R_5_4 (rLinG),Practiced,0.42013888888888884,Early
27,GA01,MVOcC_R_5_4 (rLinG),Practiced,0.3506944444444445,Late
28,GA01,LOcC_L_4_1 (mOccG),Unpracticed,0.4270833333333333,Early
29,GA01,LOcC_L_4_1 (mOccG),Unpracticed,0.4375,Late
30,GA01,LOcC_L_4_1 (mOccG),Practiced,0.4895833333333333,Early
31,GA01,LOcC_L_4_1 (mOccG),Practiced,0.3090277777777778,Late
32,GA01,LOcC_R_4_1 (mOccG),Unpracticed,0.4791666666666667,Early
33,GA01,LOcC_R_4_1 (mOccG),Unpracticed,0.5138888888888888,Late
34,GA01,LOcC_R_4_1 (mOccG),Practiced,0.5590277777777778,Early
35,GA01,LOcC_R_4_1 (mOccG),Practiced,0.3541666666666667,Late
36,GA01,LOcC_L_4_3 (OPC),Unpracticed,0.6041666666666666,Early
37,GA01,LOcC_L_4_3 (OPC),Unpracticed,0.6770833333333334,Late
38,GA01,LOcC_L_4_3 (OPC),Practiced,0.7291666666666666,Early
39,GA01,LOcC_L_4_3 (OPC),Practiced,0.4236111111111111,Late
40,GA01,LOcC_R_4_3 (OPC),Unpracticed,0.4791666666666667,Early
41,GA01,LOcC_R_4_3 (OPC),Unpracticed,0.7118055555555555,Late
42,GA01,LOcC_R_4_3 (OPC),Practiced,0.732638888888889,Early
43,GA01,LOcC_R_4_3 (OPC),Practiced,0.4861111111111111,Late
44,GA01,LOcC_L_4_4 (iOccG),Unpracticed,0.5763888888888888,Early
45,GA01,LOcC_L_4_4 (iOccG),Unpracticed,0.6805555555555555,Late
46,GA01,LOcC_L_4_4 (iOccG),Practiced,0.6597222222222223,Early
47,GA01,LOcC_L_4_4 (iOccG),Practiced,0.48611111111111116,Late
