#T/Tc	<m>	energy	(Tc-T)/Tc	c(T,0)	Susceptibility			
1E-4	1	-2	0.9999	0	0
0.1001	1	-2	0.8999	0	0
0.2001	1	-2	0.7999	0	0
0.3001	1	-2	0.6999	0.004	1E-3
0.4001	0.9998	-1.9992	0.5999	0.03	0.008
0.5001	0.9984	-1.994	0.4999	0.106	0.027
0.5101	0.998	-1.9924	0.4899	0.06	0.02
0.5201	0.998	-1.9928	0.4799	0.52	0.13
0.5301	0.9954	-1.982	0.4699	0.42	0.11
0.5401	0.9958	-1.9844	0.4599	0.22	0.05
0.5501	0.9964	-1.9864	0.4499	0.42	0.12
0.5601	0.9934	-1.976	0.4399	0.44	0.12
0.5701	0.994	-1.9776	0.4299	1.77636E-15	0.01
0.5801	0.9936	-1.976	0.4199	0.06	0.03
0.5901	0.9934	-1.9764	0.4099	0.06	0.08
0.6001	0.992	-1.9748	0.3999	0.48	0.09
0.6101	0.9916	-1.9668	0.3899	0.42	0.05
0.6201	0.991	-1.9664	0.3799	0.24	0.08
0.6301	0.99	-1.962	0.3699	0.84	0.24
0.6401	0.9862	-1.9496	0.3599	0.32	0.09
0.6501	0.9882	-1.9556	0.3499	0.62	0.16
0.6601	0.9894	-1.962	0.3399	0.66	0.18
0.6701	0.9846	-1.9424	0.3299	1.88	0.57
0.6801	0.978	-1.9244	0.3199	0.18	0.06
0.6901	0.9834	-1.9388	0.3099	0.32	0.08
0.7001	0.9796	-1.9308	0.2999	0.86	0.33
0.7101	0.9768	-1.9216	0.2899	0.56	0.1
0.7201	0.9776	-1.9196	0.2799	0.6	0.12
0.7301	0.9744	-1.9096	0.2699	0.62	0.1
0.7401	0.9796	-1.932	0.2599	0.84	0.27
0.7501	0.969	-1.8928	0.2499	1.14	0.33
0.7601	0.973	-1.9092	0.2399	1.16	0.36
0.7701	0.9618	-1.8696	0.2299	2.28	0.86
0.7801	0.9558	-1.8636	0.2199	0	0.06
0.7901	0.9606	-1.8696	0.2099	1.6	0.42
0.8001	0.9474	-1.8316	0.1999	0.78	0.23
0.8101	0.956	-1.854	0.1899	0.8	0.21
0.8201	0.9516	-1.8476	0.1799	2.16	1.03
0.8301	0.9354	-1.8108	0.1699	2.52	0.89
0.8401	0.9338	-1.7972	0.1599	0.26	0.08
0.8501	0.9338	-1.8056	0.1499	0.66	0.39
0.8601	0.926	-1.784	0.1399	2.14	0.63
0.8701	0.9212	-1.7628	0.1299	1.28	0.47
0.8801	0.9166	-1.7584	0.1199	0.2	0.17
0.8901	0.9246	-1.7668	0.1099	1.82	0.63
0.9001	0.904	-1.722	0.0999	4.2	1.78
0.9101	0.889	-1.6828	0.0899	1.72	0.43
0.9201	0.8954	-1.6876	0.0799	1.24	0.6
0.9301	0.877	-1.658	0.0699	3.86	2.92
0.9401	0.837	-1.6104	0.0599	2.16	1.79
0.9501	0.8412	-1.6148	0.0499	3.4	2.05
0.9601	0.796	-1.5424	0.0399	3.3	1.66
0.9701	0.808	-1.5488	0.0299	3.06	3.49
0.9801	0.7262	-1.4812	0.0199	23.62	36.51
0.9811	0.8074	-1.5352	0.0189	26.4	3.7
0.9821	0.7336	-1.534	0.0179	31.4	30.9
0.9831	0.7456	-1.4724	0.0169	4.4	19.7
0.9841	0.773	-1.5252	0.0159	3.2	20.7
0.9851	0.7042	-1.466	0.0149	43	52.1
0.9861	0.6688	-1.4392	0.0139	9.4	13.9
0.9871	0.6764	-1.4472	0.0129	3.2	29.9
0.9881	0.7286	-1.4456	0.0119	26.4	30.4
0.9891	0.7372	-1.5	0.0109	9.2	135.1
0.9901	0.4584	-1.4272	0.0099	14.2	3.9
0.9911	0.745	-1.4716	0.0089	10.6	105.7
0.9921	0.6698	-1.4484	0.0079	25	57.8
0.9931	0.6294	-1.4216	0.0069	14.8	33.5
0.9941	0.6028	-1.4188	0.0059	27.8	44.7
0.9951	0.7188	-1.4772	0.0049	17.4	83.7
0.9961	0.4354	-1.384	0.0039	41.4	95.6
0.9971	0.5276	-1.3944	0.0029	20.4	67.4
0.9981	0.5702	-1.4248	0.0019	22.8	19.4
0.9991	0.5664	-1.44	9E-4	30.4	15.4
1.0001	0.5394	-1.364	-1E-4	10	68.1
1.0011	0.7026	-1.42	-0.0011	16.6	36.9
1.0021	0.6132	-1.3972	-0.0021	10	96.7
1.0031	0.5092	-1.4	-0.0031	1.2	24.5
1.0041	0.5642	-1.3948	-0.0041	6.8	33.6
1.0051	0.5764	-1.3864	-0.0051	7.4	113.4
1.0061	0.3374	-1.38	-0.0061	33.6	57.8
1.0071	0.692	-1.4536	-0.0071	10.2	117.6
1.0081	0.5726	-1.4004	-0.0081	58.4	137.6
1.0091	0.4168	-1.3368	-0.0091	24	58.7
1.0101	0.4552	-1.3524	-0.0101	52.8	119.8
1.0111	0.6564	-1.4424	-0.0111	3.2	139.1
1.0121	0.177	-1.3588	-0.0121	80.2	269.3
1.0131	0.1178	-1.282	-0.0131	1.8	155.2
1.0141	0.4874	-1.3552	-0.0141	65.2	269.6
1.0151	0.657	-1.4124	-0.0151	26	167.7
1.0161	0.152	-1.3032	-0.0161	76.2	307.5
1.0171	0.042	-1.26	-0.0171	19.2	46
1.0181	0.244	-1.3416	-0.0181	43.2	245.2
1.0191	0.5324	-1.3464	-0.0191	18.8	170.9
1.0201	0.5858	-1.3792	-0.0201	10.56	0.26
1.0301	0.057	-1.2624	-0.0301	4	18.33
1.0401	0.2192	-1.2992	-0.0401	0.14	2.01
1.0501	0.0972	-1.2596	-0.0501	7.44	0.57
1.0601	0.2078	-1.1504	-0.0601	5.38	3.63
1.0701	0.0246	-1.152	-0.0701	0.92	2.02
1.0801	0.1674	-1.1688	-0.0801	0.24	2.03
1.0901	0.0652	-1.1568	-0.0901	3.04	4.89
1.1001	0.0696	-1.108	-0.1001	4.36	6.17
1.1101	0.1886	-1.0696	-0.1101	2.94	2.88
1.1201	0.012	-1.0492	-0.1201	1.22	7.61
1.1301	0.0364	-1.094	-0.1301	2.38	1.89
1.1401	0.0498	-1.0016	-0.1401	3.2	1.72
1.1501	0.002	-1.03	-0.1501	1.22	1.77
1.1601	0.0144	-1.026	-0.1601	1.6	0.14
1.1701	0.0048	-0.998	-0.1701	1.92	0.9
1.1801	0.0324	-0.9876	-0.1801	0.44	0.75
1.1901	0.0198	-0.9892	-0.1901	1.92	0.32
1.2001	0.0388	-0.9492	-0.2001	2.46	0.33
1.2101	0.0264	-0.94	-0.2101	2	0.76
1.2201	0.0236	-0.9092	-0.2201	1.1	0.9
1.2301	0.0444	-0.918	-0.2301	1.18	0.8
1.2401	0.0076	-0.8856	-0.2401	1.14	0.26
1.2501	0.0392	-0.8952	-0.2501	1.02	4.11
1.2601	0.0898	-0.906	-0.2601	1.36	1.06
1.2701	0.018	-0.868	-0.2701	3.44	3.81
1.2801	0.0136	-0.8372	-0.2801	0.3	1.74
1.2901	0.0528	-0.862	-0.2901	1.26	1.15
1.3001	0.0366	-0.8624	-0.3001	2.88	2.58
1.3101	0.0012	-0.8044	-0.3101	1.86	1.7
1.3201	0.0026	-0.8252	-0.3201	0.02	0.83
1.3301	0.0178	-0.804	-0.3301	1.28	1.41
1.3401	0.0308	-0.7996	-0.3401	0.12	0.25
1.3501	0.0228	-0.8064	-0.3501	2.2	0.28
1.3601	0.0252	-0.7556	-0.3601	0.14	0.04
1.3701	0.022	-0.8036	-0.3701	0.4	1.14
1.3801	0.0024	-0.7476	-0.3801	1.6	0.39
1.3901	0.0298	-0.7716	-0.3901	0.8	0.08
1.4001	8E-4	-0.7636	-0.4001	0.38	0.17
1.4101	0.0264	-0.764	-0.4101	0.12	0.01
1.4201	6E-4	-0.7612	-0.4201	2.2	0.14
1.4301	0.0292	-0.72	-0.4301	1.56	1.6
1.4401	0.0326	-0.73	-0.4401	1.72	0.06
1.4501	0.028	-0.6856	-0.4501	0.12	1.41
1.4601	0.0044	-0.7276	-0.4601	0.1	0.56
1.4701	0.0168	-0.6876	-0.4701	2	0.18
1.4801	8E-4	-0.6876	-0.4801	1.58	0.55
1.4901	0.0058	-0.7192	-0.4901	1.58	0.75
1.5001	0.0158	-0.656	-0.5001	3.294	0.706
1.6001	0.057	-0.6292	-0.6001	0.412	0.043
1.7001	0.0072	-0.5736	-0.7001	0.486	0.13
1.8001	0.031	-0.532	-0.8001	0.404	0.048
1.9001	0.0168	-0.4928	-0.9001	0.052	0.14
2.0001	0.003	-0.5216	-1.0001	0.35	0.064
2.1001	0.004	-0.4228	-1.1001	0.388	0.005
2.2001	0.004	-0.444	-1.2001	0.164	0.07
2.3001	0.018	-0.39	-1.3001	0.28	0.12
2.4001	0.028	-0.388	-1.4001	0.192	0.015
2.5001	0.015	-0.3516	-1.5001	0.186	0.103
2.6001	0.0074	-0.3508	-1.6001	0.046	0.07
2.7001	0.029	-0.3424	-1.7001	0.028	1E-3
2.8001	0.0076	-0.3452	-1.8001	0.19	0.042
2.9001	0.0374	-0.3044	-1.9001	0.286	0.006
3.0001	0.0064	-0.288	-2.0001	0.012	0.059
3.1001	0.0256	-0.3068	-2.1001	0.084	0.07
3.2001	0.0204	-0.3048	-2.2001	0.086	0.078
3.3001	0.01	-0.2896	-2.3001	0.228	0.033
3.4001	0.0138	-0.2592	-2.4001	0.034	0.046
3.5001	8E-4	-0.2828	-2.5001	0.014	0.064
3.6001	1E-3	-0.2564	-2.6001	0.162	0.08
3.7001	0.0168	-0.2504	-2.7001	0.126	0.049
3.8001	0.0108	-0.2312	-2.8001	0.074	0.007
3.9001	0.0154	-0.2356	-2.9001	0.028	0.045
4.0001	0.0018	-0.2256	-3.0001	0.054	0.032
4.1001	0.009	-0.2248	-3.1001	0.024	0.089
4.2001	0.0196	-0.2304	-3.2001	0.038	0.013
4.3001	0.0064	-0.2172	-3.3001	0.004	0.071
4.4001	0.0338	-0.2296	-3.4001	0.024	0.059
4.5001	0.0182	-0.222	-3.5001	0.102	0.087
4.6001	0.0164	-0.2092	-3.6001	0.082	0.037
4.7001	0.0108	-0.2056	-3.7001	0.088	0.054
4.8001	0.0056	-0.1916	-3.8001	0.14	0.045
4.9001	0.0018	-0.1776	-3.9001	0.14	0.038
