	trial	Freq_other.class	Freq_other.index
0	10001	-1	2
1	10002	1	2
2	10003	-1	2
3	10004	-1	2
4	10005	1	1
5	10006	-1	1
6	10007	1	1
7	10008	1	1
8	10009	1	2
9	10010	-1	1
10	20001	1	2
11	20002	1	2
12	20003	-1	1
13	20004	-1	1
14	20005	-1	1
15	20006	1	2
16	20007	1	1
17	20008	-1	2
18	20009	1	1
19	20010	-1	1
20	30001	1	2
21	30002	-1	2
22	30003	-1	2
23	30004	1	2
24	30005	-1	2
25	30006	-1	1
26	30007	1	1
27	30008	-1	1
28	30009	1	2
29	30010	1	2
30	40001	-1	1
31	40002	-1	2
32	40003	1	1
33	40004	1	1
34	40005	-1	1
35	40006	-1	1
36	40007	-1	2
37	40008	1	1
38	40009	1	1
39	40010	1	1
