	Freq.other.index	Freq.other_updown.class	Freq.other_answer.class	Freq.other_decision.class
0	2	-1	-1	NaN
1	2	1	1	1
2	2	-1	-1	-1
3	2	-1	-1	1
4	1	-1	-1	-1
5	1	-1	-1	-1
6	1	1	1	1
7	1	1	1	1
8	2	1	1	1
9	1	1	1	1
10	1	-1	-1	1
11	1	-1	-1	-1
12	1	-1	-1	-1
13	1	1	1	1
14	1	-1	-1	-1
15	2	-1	-1	-1
16	2	1	1	1
17	2	1	1	1
18	2	1	1	1
19	1	1	1	1
20	2	1	1	1
21	2	1	1	1
22	2	1	1	1
23	1	-1	-1	-1
24	2	1	1	-1
25	2	-1	-1	-1
26	1	1	1	1
27	1	-1	-1	-1
28	2	-1	-1	-1
29	2	-1	-1	-1
30	1	1	1	NaN
31	2	-1	-1	NaN
32	1	-1	-1	-1
33	1	1	1	1
34	1	1	1	1
35	1	-1	-1	1
36	1	1	1	NaN
37	2	-1	-1	NaN
38	1	-1	-1	NaN
39	1	1	1	1
