	nPCs_best	rval_best	JND	nvoxels	rval
TML04_PILOT	25	0.3399492642651635	1.7728937982167	272892	"[0.28656552 0.27771111 0.30552681 0.33994926 0.29183229 0.33763717
 0.30354383 0.27124196 0.23245559 0.16440355 0.22569114]"
TML05_PILOT	40	0.2523721607871823	1.9151497870595495	286902	"[-0.0269539   0.095193    0.16096714  0.17539405  0.20743716  0.23562367
  0.25237216  0.24954403  0.23810242  0.24129938  0.23969413]"
TML06_PILOT	35	-0.0022548708338785725	4.285307193077406	278871	"[-0.07367199 -0.08076885 -0.0916219  -0.02821037 -0.05601121 -0.00225487
 -0.0173264  -0.02161753 -0.02032428 -0.01740036 -0.00893791]"
TML07_PILOT		-0.017901893341769424	17.456024408800086	280712	"[-0.15264299 -0.07812816 -0.08912629 -0.07146794 -0.10984798 -0.09796503
 -0.10227732 -0.07239925 -0.06340161 -0.04922434 -0.01790189]"
TML08_PILOT	35	0.13810176974938143	1.5640685017601668	281191	"[-0.09456713 -0.01306298  0.10266259  0.08205715  0.08737071  0.13810177
  0.13318101  0.10993148  0.08256129  0.09532317  0.09461549]"
TML09_PILOT	45	0.06884556565475346	2.3627346327659486	277468	"[0.06241931 0.03336168 0.01916046 0.02456761 0.02878788 0.04659801
 0.0629404  0.06884557 0.0427363  0.04170406 0.01845881]"
TML10_PILOT	30	0.28670193213845097	2.028435199891875	255501	"[0.1118458  0.14339169 0.22570131 0.19654375 0.28670193 0.26162952
 0.26926858 0.27520999 0.28175924 0.28008257 0.24427089]"
TML11_PILOT	50	0.17237541827786293	0.6835233867589219	274775	"[0.01201093 0.08582535 0.15182107 0.10482256 0.07627738 0.06670299
 0.1032287  0.14136018 0.17237542 0.13687542 0.14177791]"
TML12_PILOT	50	-0.029951400672167273	1.1719020385176417	287469	"[-0.15665065 -0.19512961 -0.19706783 -0.13622784 -0.1064472  -0.1155954
 -0.08079447 -0.05949462 -0.0299514  -0.05048475 -0.05181621]"
TML13	50	0.15322437548707352	1.171879271088461	281689	"[-0.0877218   0.02319877  0.05475609  0.10231249  0.11240156  0.12230787
  0.12795084  0.14500786  0.15322438  0.12583177  0.12890599]"
TML14	10	0.0763717473105222	1.6221686937122939	268698	"[ 0.07637175  0.03974848 -0.03628012 -0.00971628 -0.0256644  -0.04713114
 -0.03772141 -0.06397076 -0.05755959 -0.08797792 -0.12152481]"
TML15		0.03580370259672292	1.0915683605666349	261133	"[-0.06066776 -0.09417944 -0.07300777 -0.10347097 -0.09608388 -0.0464945
 -0.07064159 -0.02645243  0.01021502  0.02061116  0.0358037 ]"
TML16		0.19203465751054646	1.1639622449577638	267648	"[-0.0191479   0.01118775  0.00446892  0.08840013  0.15092666  0.13864694
  0.11214219  0.13694754  0.1411236   0.19005147  0.19203466]"
TML18	35	0.09697962839997655	1.5028104730684935	275753	"[-0.05285709  0.06995103  0.06059799  0.08696465  0.08891479  0.09697963
  0.09697488  0.06962653  0.05262947  0.06175856  0.09629428]"
TML19	50	0.06965562846956334	0.832779426919334	281531	"[-0.09357306  0.02513244  0.02568691  0.00350881  0.00748191  0.0455335
  0.02369171  0.00672289  0.06965563  0.06055335  0.05772147]"
TML20	35	0.10646668688427613	0.8843981387389305	270285	"[-0.10704108 -0.00307376 -0.00054383  0.05523254  0.098567    0.10646669
  0.07737412  0.07825778  0.0693513   0.0877414   0.04903373]"
TML21	55	0.18962542360421275	0.9236033038851031	278729	"[-0.07337052  0.02254787  0.05572585  0.08873495  0.11541685  0.09989159
  0.1533351   0.14981906  0.16015191  0.18962542  0.18895756]"
TML22		0.11399456315818755	1.8176686382709113	284436	"[-0.04274934  0.03749086 -0.02040362  0.02002712  0.03363228  0.03867943
  0.07976052  0.07662105  0.08580389  0.08608794  0.11399456]"
TML23	55	0.6152876169735078	0.805062080555411	279973	"[0.55137671 0.56493391 0.56823728 0.59053001 0.58581647 0.58621333
 0.58471213 0.59353603 0.6086745  0.61528762 0.61482448]"
TML24		-0.07869121456911805	2.3119177462892364	282836	"[-0.23581208 -0.1375099  -0.11619893 -0.10906253 -0.14828342 -0.13982844
 -0.14389821 -0.1272341  -0.09860885 -0.105892   -0.07869121]"
TML25	20	0.31550762903877055	2.87810532567705	281798	"[0.27713961 0.26931733 0.31550763 0.27440033 0.24962921 0.30041668
 0.30235852 0.27825507 0.28990734 0.30196416 0.30751972]"
TML26	40	0.15882222249978392	1.7618819534810723	285407	"[0.07662297 0.1359749  0.12559267 0.11797979 0.12800596 0.15212467
 0.15882222 0.15636113 0.15311124 0.10443828 0.08698032]"
TML28	15	-0.1645689250741043	6.396559385317108	287195	"[-0.21465912 -0.16456893 -0.19260944 -0.19132947 -0.24670433 -0.27418807
 -0.2906821  -0.27660176 -0.27232534 -0.20835808 -0.23596579]"
TML29		0.04783857197126518	1.5174124286574913	279995	"[-0.10685836 -0.1191216  -0.13798603 -0.18514898 -0.18138681 -0.12491117
 -0.12161097 -0.06619089 -0.01770565  0.02262834  0.04783857]"
